Tryk hPa,Temperatur C,Måling nr.,Afstand fra overflade (1m +),pC,nc,,,,
1013.3,23,1,1.5 cm,1787,17.87,,,1.5,17870
1013.0,24,2,1.7 cm,1829,18.29,,,1.7,18290
,,3,1.9 cm,1855,18.55,,,1.9,18550
,,4,2.1 cm,1870,18.70,,,2.1,18700
,,5,2.3 cm,1879,18.79,,,2.3,18790
,,6,2.5 cm,1880,18.80,,,2.5,18800
,,7,2.7 cm,1877,18.77,,,2.7,18770
,,8,2.9 cm ,1870,18.70,,,2.9,18700
,,9,3.1 cm,1866,18.66,,,3.1,18660
,,10,3.3 cm,1856,18.56,,,3.3,18560
,,11,3.5 cm,1844,18.44,,,3.5,18440
,,12,3.7 cm,1831,18.31,,,3.7,18310
,,13,3.9 cm,1816,18.16,,,3.9,18160
,,14,4.1 cm,1803,18.03,,,4.1,18030
,,15,4.3 cm ,1789,17.89,,,4.3,17890
,,16,4.8 cm,1752,17.52,,,4.8,17520
,,17,5.3 cm,1716,17.16,,,5.3,17160
,,18,5.8 cm,1680,16.80,,,5.8,16800
,,19,6.3 cm,1643,16.43,,,6.3,16430
,,20,6.8 cm,1608,16.08,,,6.8,16080
,,21,7.3 cm,1574,15.74,,,7.3,15740
,,22,7.8 cm,1540,15.40,,,7.8,15400
,,23,8.3 cm,1506,15.06,,,8.3,15060
,,24,8.8 cm,1473,14.73,,,8.8,14730
,,25,9.3 cm,1441,14.41,,,9.3,14410
,,26,9.8 cm,1408,14.08,,,9.8,14080
,,27,10.3 cm,1377,13.77,,,10.3,13770
,,28,11.3 cm,1316,13.16,,,11.3,13160
,,29,12.3 cm,1258,12.58,,,12.3,12580
,,30,13.3 cm,1202,12.02,,,13.3,12020
,,31,14.3 cm,1146,11.46,,,14.3,11460
,,32,15.3 cm,1094,10.94,,,15.3,10940
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
